,folder,date,time,trigNum,TSTrig,gratPos,t_exp,frames,ln/mm,gratTilt,I,B,Flow,pump%,Seed,p_n,Te,Ne,type,Dark,Calo0,Notes,TaChPres,TaChPres_er,Calori,Calori_er
0,2018-10-31,2018 oktober 31 ,11_23_12,14107.0,15690.0,964.0,100,10,150.0,-10.0,140.0,1.2,5.0,25.0,0.0,0.5,4.18,1.36,,17_19_44,-0.28838,Ha and b,0.49842799832231555,0.009725471382206132,1472.930021478095,25.94656225753082
1,2018-10-31,2018 oktober 31 ,11_35_49,14112.0,15695.0,964.0,100,10,150.0,-10.0,140.0,1.2,5.0,25.0,3.4,3.0,1.43,1.94,,17_19_44,-0.28838,,3.020837739785553,0.008833553312368627,551.108666882529,13.304911678467805
2,2018-10-31,2018 oktober 31 ,12_02_46,14122.0,15705.0,964.0,100,10,150.0,-10.0,140.0,1.2,5.0,25.0,11.4,10.0,0.104,0.244,,17_19_44,-0.28838,,10.044525402201513,0.013771474215268925,44.843221834728894,9.338489210677785
3,2018-10-31,2018 oktober 31 ,16_10_01,14160.0,15749.0,765.0,100,10,150.0,-10.0,140.0,1.2,5.0,25.0,0.0,0.5,4.26,1.0,,17_19_44,-0.2797,Hb to cont,0.5024765342936247,0.006555151861176046,1440.5392678211244,25.371046941656992
4,2018-10-31,2018 oktober 31 ,16_27_52,14165.0,15755.0,765.0,100,10,150.0,-10.0,140.0,1.2,5.0,25.0,3.4,3.0,1.37,1.53,,17_19_44,-0.2797,,3.047309675534137,0.007279249620629917,500.69132760863664,12.242939022016344
5,2018-10-31,2018 oktober 31 ,16_28_43,,,,10000,10,,,,,,,,,,,,17_20_21,-0.2797,,3.047309675534137,0.007279249620629917,500.69132760863664,12.242939022016344
6,2018-10-31,2018 oktober 31 ,17_03_44,14174.0,15764.0,765.0,100,10,150.0,-10.0,140.0,1.2,5.0,25.0,11.4,10.0,0.1,0.15,,17_19_44,-0.2797,,10.119078539561645,0.007732412164745826,21.70513864132194,9.554270474730929
7,2018-10-31,2018 oktober 31 ,17_04_18,,,,10000,10,,,,,,,,,,,,17_20_21,-0.2797,,10.119078539561645,0.007732412164745826,21.70513864132194,9.554270474730929
8,2018-10-31,2018 oktober 31 ,17_19_44,,,765.0,100,10,150.0,-10.0,,,,,,,,,Dark,,,,,,,
9,2018-10-31,2018 oktober 31 ,17_20_21,,,,10000,10,,,,,,,,,,,Dark,,,,,,,
